k,probability,b_val
0,0.0102,0.6
1,0.0264,0.6
2,0.0375,0.6
3,0.0432,0.6
4,0.0394,0.6
5,0.0426,0.6
6,0.0454,0.6
7,0.0475,0.6
8,0.0542,0.6
9,0.0494,0.6
10,0.0496,0.6
11,0.0563,0.6
12,0.0465,0.6
13,0.0535,0.6
14,0.0551,0.6
15,0.0578,0.6
16,0.0571,0.6
17,0.059,0.6
18,0.0568,0.6
19,0.1125,0.6
20,0.0,0.6
