k,probability,b_val
0,0.0101,-0.8
1,0.0261,-0.8
2,0.0341,-0.8
3,0.0371,-0.8
4,0.0441,-0.8
5,0.0449,-0.8
6,0.0474,-0.8
7,0.0491,-0.8
8,0.0494,-0.8
9,0.0485,-0.8
10,0.0549,-0.8
11,0.0534,-0.8
12,0.0553,-0.8
13,0.0581,-0.8
14,0.0571,-0.8
15,0.0523,-0.8
16,0.0581,-0.8
17,0.0587,-0.8
18,0.06,-0.8
19,0.1013,-0.8
20,0.0,-0.8
