k,probability,b_val
0,0.0098,0.7
1,0.028,0.7
2,0.035,0.7
3,0.0403,0.7
4,0.0391,0.7
5,0.0467,0.7
6,0.0461,0.7
7,0.0489,0.7
8,0.0466,0.7
9,0.0518,0.7
10,0.0528,0.7
11,0.0525,0.7
12,0.0517,0.7
13,0.0539,0.7
14,0.0569,0.7
15,0.0534,0.7
16,0.0518,0.7
17,0.056,0.7
18,0.0623,0.7
19,0.1164,0.7
20,0.0,0.7
