k,probability,b_val
0,0.0088,1.0
1,0.0255,1.0
2,0.0336,1.0
3,0.0379,1.0
4,0.0435,1.0
5,0.0458,1.0
6,0.047,1.0
7,0.0467,1.0
8,0.0489,1.0
9,0.0496,1.0
10,0.0516,1.0
11,0.055,1.0
12,0.0566,1.0
13,0.0578,1.0
14,0.0548,1.0
15,0.0544,1.0
16,0.0533,1.0
17,0.0568,1.0
18,0.059,1.0
19,0.1134,1.0
20,0.0,1.0
