k,probability,b_val
0,0.0092,0.8
1,0.0253,0.8
2,0.0353,0.8
3,0.0381,0.8
4,0.043,0.8
5,0.0406,0.8
6,0.0455,0.8
7,0.0484,0.8
8,0.0492,0.8
9,0.0516,0.8
10,0.053,0.8
11,0.0521,0.8
12,0.0577,0.8
13,0.0552,0.8
14,0.0573,0.8
15,0.0527,0.8
16,0.0552,0.8
17,0.0591,0.8
18,0.0552,0.8
19,0.1163,0.8
20,0.0,0.8
