k,probability,b_val
0,0.0077,-0.2
1,0.0292,-0.2
2,0.0354,-0.2
3,0.0394,-0.2
4,0.04,-0.2
5,0.0442,-0.2
6,0.0469,-0.2
7,0.0486,-0.2
8,0.049,-0.2
9,0.0499,-0.2
10,0.0562,-0.2
11,0.0565,-0.2
12,0.0579,-0.2
13,0.0555,-0.2
14,0.0537,-0.2
15,0.0564,-0.2
16,0.0572,-0.2
17,0.0549,-0.2
18,0.0572,-0.2
19,0.1042,-0.2
20,0.0,-0.2
