issue_id,id,node_id,url,name,color,default,description
230891441,172389162,MDU6TGFiZWwxNzIzODkxNjI=,https://api.github.com/repos/joshuaulrich/quantmod/labels/invalid,invalid,e6e6e6,TRUE,NA
230839396,172389270,MDU6TGFiZWwxNzIzODkyNzA=,https://api.github.com/repos/joshuaulrich/quantmod/labels/feature%20request,feature request,ededed,FALSE,NA
230384906,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
229673470,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
229545918,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
229178858,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
229031228,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
228367747,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
228264320,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
227032435,172389162,MDU6TGFiZWwxNzIzODkxNjI=,https://api.github.com/repos/joshuaulrich/quantmod/labels/invalid,invalid,e6e6e6,TRUE,NA
222992354,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
222423537,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
222315002,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
221302016,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
221038173,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
220543751,172389162,MDU6TGFiZWwxNzIzODkxNjI=,https://api.github.com/repos/joshuaulrich/quantmod/labels/invalid,invalid,e6e6e6,TRUE,NA
220452667,172389159,MDU6TGFiZWwxNzIzODkxNTk=,https://api.github.com/repos/joshuaulrich/quantmod/labels/duplicate,duplicate,cccccc,TRUE,NA
220358200,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
207392687,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
205766581,172389162,MDU6TGFiZWwxNzIzODkxNjI=,https://api.github.com/repos/joshuaulrich/quantmod/labels/invalid,invalid,e6e6e6,TRUE,NA
203920512,172389158,MDU6TGFiZWwxNzIzODkxNTg=,https://api.github.com/repos/joshuaulrich/quantmod/labels/bug,bug,fc2929,TRUE,NA
202498001,172389162,MDU6TGFiZWwxNzIzODkxNjI=,https://api.github.com/repos/joshuaulrich/quantmod/labels/invalid,invalid,e6e6e6,TRUE,NA
202345931,172389160,MDU6TGFiZWwxNzIzODkxNjA=,https://api.github.com/repos/joshuaulrich/quantmod/labels/enhancement,enhancement,84b6eb,TRUE,NA
