issue_id,id
544243566,14912729
541380645,7671983
541380645,16421524
539985669,13651291
539985669,16421524
539985669,24660100
496071476,7671983
496071476,16421524
493599682,13332240
1054764602,15707374
1004761413,4183062
1004761413,15707374
894446027,15707374
891957762,3730444
891957762,4183062
891957762,15707374
891953115,3730444
891953115,15707374
891943888,3730444
891943888,15707374
868571983,3730444
868571983,4183062
821421082,4183062
664245213,15707374
483612839,4183062
480944741,4183062
476986477,20746342
476982631,4183062
476982096,3730444
476980776,3730444
471239374,3730444
471239374,4183062
471239374,20746342
471234729,4183062
471233415,4183062
1125086691,1862727
1111722591,1862727
1069837788,1862727
1055979588,1862727
1042159182,1862727
1041486625,1862727
1041277057,1862727
1041268345,1862727
1041264015,1862727
1041253296,1862727
1005689501,1862727
845699532,1862727
773189146,1862727
689420375,1862727
684880567,1862727
684193194,1862727
684192189,1862727
684191222,1862727
684187833,1862727
672710324,1862727
639894955,1862727
630802941,1862727
585849258,1862727
580660916,1862727
577272577,1862727
575430421,1862727
545400289,1862727
1137608447,1862727
1127639991,1862727
1127637549,1862727
1126786535,1862727
1123071258,1862727
1120795848,1862727
1119834342,1862727
1119117789,1862727
1117923193,1862727
1117656013,1862727
1114855631,1862727
1113524379,1862727
1112916908,1862727
1112534028,1862727
1112427565,1862727
1111943819,1862727
1110971106,1862727
1097058309,1862727
1091103437,1862727
1090811093,1862727
1090606391,1862727
1090453542,1862727
1088667663,1862727
1087349101,1862727
1086192789,1862727
1078539059,1862727
1077137195,1862727
1073726902,1862727
1071486577,1862727
1070838091,1862727
1069071351,1862727
1065590223,1862727
1057366091,1862727
1056794650,1862727
1053597406,1862727
1052701798,1862727
1046610145,1862727
1042690349,1862727
1042667351,1862727
1040460089,1862727
1040460089,88572557
1040279729,1862727
1036776389,1862727
1035412831,1862727
1034212502,1862727
1031249425,1862727
1029915781,1862727
1028183068,7695718
1028173607,575109
1028173607,1862727
1028112310,1862727
1022098461,1862727
1015812267,1862727
1007738549,1862727
1007735761,1862727
1007718284,1862727
1007713963,1862727
1007214779,1862727
1006846016,1862727
1004824620,1862727
1002961387,1862727
999546525,1862727
996755738,1862727
993584639,1862727
993580376,1862727
993574211,1862727
992509413,1862727
989117804,1862727
988255301,1862727
988047018,1862727
982140915,1862727
976367754,1862727
975676185,1862727
971458378,1862727
971141130,1862727
971002904,1862727
970985476,1862727
969178986,1862727
964850617,1862727
964833236,1862727
964772542,1862727
964290466,1862727
963979939,1862727
963533450,1862727
963110888,1862727
963107773,1862727
962269386,1862727
962255135,1862727
961128296,1862727
961023517,1862727
961019618,1862727
959002628,1862727
957371215,1862727
956087283,1862727
945651628,1862727
942905907,1862727
938250345,1862727
937337166,1862727
930807090,1862727
930668957,1862727
930636744,1862727
930634220,1862727
930364611,1862727
930084413,1862727
929040493,1862727
928096267,1862727
928093269,1862727
927637192,1862727
927608287,1862727
926603285,1862727
926568828,1862727
926533454,1862727
926487291,1862727
926120747,1862727
926053789,1862727
925195055,1862727
924372444,1862727
923317667,1862727
922996811,1862727
921699780,1862727
919699378,1862727
919164155,1862727
285254776,1862727
258871158,1862727
223094302,1862727
376177715,5463841
376055482,5463841
283431400,1455535
282713993,910753
272212643,5463841
134749822,1455535
191266848,3346407
793069504,43037294
779375752,43037294
716523422,43037294
396606622,43037294
93412776,3346407
93412075,2676083
77837448,3346407
76598527,3346407
76596695,3346407
76589038,3346407
76587603,2676083
75823916,3346407
658226264,2281088
430670679,2281088
430546034,2281088
430533968,2281088
303635389,2346725
748068243,7581348
748038706,7581348
747982513,7581348
747739063,7581348
747498287,7581348
747415923,7581348
675428861,7581348
672919141,7581348
668004639,7581348
667906677,7581348
667713213,7581348
667644078,7581348
664392217,7581348
651053474,7581348
650884659,7581348
650862541,7581348
650524801,7581348
648546421,7581348
646499452,7581348
645099986,7581348
641268088,7581348
640794283,7581348
634654332,7581348
629234662,7581348
628370235,7581348
627177479,7581348
625607489,7581348
620148167,7581348
620059164,7581348
618922922,7581348
617927207,7581348
612270010,7581348
609905674,7581348
609904346,7581348
609669831,7581348
609260384,7581348
608884661,7581348
606445395,7581348
606407243,7581348
606375913,7581348
604730919,7581348
603357686,7581348
602705217,7581348
601688563,7581348
601683764,7581348
601043890,7581348
600988210,7581348
599605801,7581348
597942259,7581348
596238261,7581348
589756338,7581348
582636296,7581348
556705781,7581348
550210220,7581348
547824624,7581348
544677176,7581348
544673485,7581348
544135646,7581348
541842289,7581348
541329445,7581348
541263518,7581348
540868849,7581348
539776897,7581348
539450555,7581348
539391704,7581348
538149584,7581348
536550623,7581348
535556104,7581348
534734493,7581348
534729400,7581348
534706294,7581348
